,para,label,document,predictions
105,"ZD054 & 2-chloro-N-(4-fluorophenyl)-5-((2-methyl thiazol-4-yl)ethynyl)nicotinamide & <img> id-imgb0054.tif </img>
",0,EP3284738A1.txt,2
106,"ZD055 & 2-fluoro-5-(pyridin-2-ylethynyl)-N-(pyridi n-3-yl)nicotinamide & <img> id-imgb0055.tif </img>
",0,EP3284738A1.txt,2
107,"ZD056 & (3,4-dihydro-isoquinolin-2(1H)-yl)(2-fluo ro-5-(pyridin-2-ylethynyl)pyridin-3-yl)me thanone & <img> id-imgb0056.tif </img>
",0,EP3284738A1.txt,2
108,"ZD057 & 2-fluoro-5-((2-methylthiazol-4-yl)ethynyl) -N-benzoylaniline & <img> id-imgb0057.tif </img>
",0,EP3284738A1.txt,2
113,"ZD062 & 4-((2-methylthiazol-4-yl)ethynyl)-2-(1,2,3 ,4-dihydroisoquinolin-2-carbonyl)benzoni trile & <img> id-imgb0062.tif </img>
",0,EP3284738A1.txt,2
114,"ZD063 & (3,4-dihydro-isoquinolin-2(1H)-yl)(5-((2-methyl-thiazol-4-yl)ethynyl)-2-(trifluorom ethyl)phenyl)methanone & <img> id-imgb0063.tif </img>
",0,EP3284738A1.txt,2
122,"ZD071 & 2-fluoro-5-((2-methylthiazol-4-ylethynyl)-N-(pyridin-2-yl)benzamide & <img> id-imgb0071.tif </img>
",0,EP3284738A1.txt,2
123,"ZD072 & 2-fluoro-5-((2-methylthiazol-4-ylethynyl)-N-(pyridin-4-yl)benzamide & <img> id-imgb0072.tif </img>
",0,EP3284738A1.txt,2
124,"ZD073 & 2-fluoro-N-(6-fluoropyridin-3-yl)-5-((2-m ethylthiazol-4-yl)ethynyl)benzamide & <img> id-imgb0073.tif </img>
",0,EP3284738A1.txt,2
125,"ZD074 & N-(6-chloropyridin-3-yl)-2-fluoro-5-((2-m ethylthiazol-4-yl)ethynyl)benzamide & <img> id-imgb0074.tif </img>
",0,EP3284738A1.txt,2
126,"ZD075 & 2-fluoro-5-((2-methylthiazol-4-ylethynyl)-N-(p-methylphenyl)benzamide & <img> id-imgb0075.tif </img>
",0,EP3284738A1.txt,2
128,"ZD077 & 2-fluoro-5-((2-fluorothiazol-4-yl)ethynyl)-N-(pyridin-3-yl)benzamide & <img> id-imgb0077.tif </img>
",0,EP3284738A1.txt,2
129,"ZD078 & 5-((2-chlorothiazol-4-ylethynyl)-2-fluoro-N-(pyridin-3-yl)benzamide & <img> id-imgb0078.tif </img>
",0,EP3284738A1.txt,2
130,"ZD079 & 2-fluoro-N-(pyridin-3-yl)-5-((2-(trifluoro methyl)thiazol-4-yl)ethynyl)benzamide & <img> id-imgb0079.tif </img>
",0,EP3284738A1.txt,2
132,"ZD081 & 2-fluoro-5-((6-fluoropyridin-2-yl)ethynyl) -N-(pyridin-3-yl)benzamide & <img> id-imgb0081.tif </img>
",0,EP3284738A1.txt,2
133,"ZD082 & 5-((6-chloropyridin-2-yl)ethynyl)-2-fluoro -N-(pyridin-3-yl)benzamide & <img> id-imgb0082.tif </img>
",0,EP3284738A1.txt,2
134,"ZD083 & 2-fluoro-N-(pyridin-3-yl)-5-((6-(trifluoro methyl)pyridin-2-yl)ethynyl)benzamide & <img> id-imgb0083.tif </img>
",0,EP3284738A1.txt,2
135,"ZD084 & 5-((6-cyanopyridin-2-yl)ethynyl)-2-fluoro -N-(pyridin-3-yl)benzamide & <img> id-imgb0084.tif </img>
",0,EP3284738A1.txt,2
138,"ZD087 & 2-fluoro-N-(4-fluorophenyl)-5-((2-methyl pyrimidin-5-yl)ethynyl)benzamide & <img> id-imgb0087.tif </img>
",0,EP3284738A1.txt,2
139,"ZD088 & (3,4-dihydro-isoquinolin-2(1H)-yl)(2-fluo ro-5-((2-methylpyrimidin-5-yl)ethynyl)ph enylmethanone & <img> id-imgb0088.tif </img>
",0,EP3284738A1.txt,2
140,"ZD089 & 2-fluoro-5-((2-methyloxazol-4-ylethynyl)-N-(pyridin-3-yl)benzamide & <img> id-imgb0089.tif </img>
",0,EP3284738A1.txt,2
141,"ZD090 & 2-fluoro-N-(4-fluorophenyl)-5-((2-methyl oxazol-4-yl)ethynyl)benzamide & <img> id-imgb0090.tif </img>
",0,EP3284738A1.txt,2
142,"ZD091 & (3,4-dihydro-isoquinolin-2(1H)-yl)(2-fluo ro-5-((2-methyloxazol-4-yl)ethynyl)pheny l)methanone & <img> id-imgb0091.tif </img>
",0,EP3284738A1.txt,2
143,"ZD092 & (3,4-dihydro-isoquinolin-2(1H)-yl)(5-((3, 5-dimethylisoxazol-4-yl)ethynyl)-2-fluoro phenyl)methanone & <img> id-imgb0092.tif </img>
",0,EP3284738A1.txt,2
144,"ZD093 & 5-((3,5-dimethylisoxazol-4-ylethynyl)-2-fl uoro-N-(pyridin-3-yl)benzamide & <img> id-imgb0093.tif </img>
",0,EP3284738A1.txt,2
145,"ZD094 & 5-((3,5-dimethylisoxazol-4-ylethynyl)-2-fl uoro-N-(4-fluorophenyl)benzamide & <img> id-imgb0094.tif </img>
",0,EP3284738A1.txt,2
168,"1.1 Synthesis of 2-fluoro-5-iodo-benzoyl chloride
",2,EP3284738A1.txt,1
600,"Phenyl 2,3,4,6-tetra-O-acetyl-1-thio-β-D-galactopyranoside, 12
",2,EP3305797A1.txt,0
603,"Phenyl 2,3,4-tri-O-acetyl-1-thio-α-L-arabinopyranoside, 13.
",2,EP3305797A1.txt,0
604,"<img> id-imgb0024.tif </img>
",1,EP3305797A1.txt,0
606,"1.2. Zemplen deacetylation for the synthesis of polyhydroxy derivatives.
",0,EP3305797A1.txt,2
607,"Phenyl 1-thio-β-D-galactopyranoside, 14
",2,EP3305797A1.txt,1
610,"Phenyl 1-thio-α-L-arabinopyranoside, 15.
",2,EP3305797A1.txt,0
611,"<img> id-imgb0026.tif </img>
",1,EP3305797A1.txt,0
613,"1.3. Preparation of 3,4-O-isopropylidene acetals.
",0,EP3305797A1.txt,2
614,"Phenil 3,4-O-isopropylidene-1-thio-β-D-galactopyranoside, 16.
",2,EP3305797A1.txt,0
615,"<img> id-imgb0027.tif </img>
",1,EP3305797A1.txt,0
617,"Phenyl 3,4-O-isopropylidene-1-thio-α-L-arabinopyranoside, 17.
",2,EP3305797A1.txt,0
618,"<img> id-imgb0028.tif </img>
",1,EP3305797A1.txt,0
620,"1.4. Selective protection of the primary hydroxyl.
",2,EP3305797A1.txt,0
621,"Phenyl 3,4-O-isopropylidene-6-O-tert-butyldiphenylsilyl-1-thio-β-D-galactopyranoside, 18
",1,EP3305797A1.txt,0
624,"1.5. Reaction of the hydroxyl in position 2 with p-fluorobenzyl derivatives.
",0,EP3305797A1.txt,2
625,"Phenyl 2-O-(p-fluorobenzyl)-3,4-O-isopropylidene-6-O-tert-butyldiphenylsilyl-1-thio-β-D-galactopyranoside, 19
",2,EP3305797A1.txt,1
628,"Phenyl 2-O-(p-fluorobenzyl)-3,4-O-isopropylidene-1-thio-α-L-arabinopyranoside, 20.
",2,EP3305797A1.txt,0
629,"<img> id-imgb0031.tif </img>
",1,EP3305797A1.txt,0
633,"2-O-(p-fluorobenzyl)-3,4-O-isopropylidene-6-O-tert-butyldiphenylsilyl-α,β-D-galactopyranose, 21
",2,EP3305797A1.txt,0
636,"2-O-(p-fluorobenzyl)-3,4-O-isopropylidene-α,β-L-arabinopyranoside, 22.
",2,EP3305797A1.txt,0
637,"<img> id-imgb0033.tif </img>
",1,EP3305797A1.txt,0
639,"2.2. Formation of trichloroacetimidate.
",0,EP3305797A1.txt,2
640,"2-O-(p-fluorobenzyl)-3,4-O-isopropylidene-6-O-tert-butyldiphenylsilyl-α,β-D-galactopyranoside-trichloroacetimidate, 23
",2,EP3305797A1.txt,1
643,"2-O-(p-fluorobenzyl)-3,4-O-isopropylidene-α,β-L-arabinopyranoside-trichloroacetimidate, 24.
",2,EP3305797A1.txt,0
644,"<img> id-imgb0035.tif </img>
",1,EP3305797A1.txt,0
646,"2.2. Glycosidation of trichloroacetimidate.
",2,EP3305797A1.txt,0
647,"Derived from galactose 25 and 26:
",1,EP3305797A1.txt,0
648,"Trimethylsilyl trifluoromethanesulfonate (2.8 mL, 0.015 mmol) is added to a solution of 23 (0.16g, 0.22 mmol) and (1R)-1-[3,5-bis(trifluoromethyl)phenyl]ethanol (0.17g, 0.67 mmol) in ether (7 mL), under an argon atmosphere, with 200 mg of molecular sieve (4Å) at 0 °C. The reaction is stirred for one hour at room temperature. After that time, NaHCO3 is added, the solution is filtered through celite and the solvent evaporated in vacuo. A yellow syrup is obtained as a mixture of the two α:β anomers in a ratio of 3:1. Purification by column chromatography using ethyl acetate-hexane in a ratio of 1:15 yields the α anomer (106.51 mg, 0.13 mmol) as the major product with a yield of 60% and the minority β anomer (48.41 mg, 0.06 mmol) with a yield of 25 %.
",1,EP3305797A1.txt,2
663,"EXAMPLE 3. Selective deprotection of position 6.
",2,EP3305797A1.txt,0
664,"General procedure
",1,EP3305797A1.txt,0
665,"Tetrabutyl ammonium fluoride 1 M (5 equiv.) is added to a solution of 25 or 26 (1 equiv.) in tetrahydrofuran and under an argon atmosphere. After stirring for 1 hour, an ether and saturated NaCl solution is added. The aqueous phase is extracted with ethyl acetate, the organic residues are dried over anhydrous sodium sulfate, and the solvent evaporated in vacuo. The residue obtained is purified by column chromatography, using ethyl acetate-hexane as the eluent with a ratio of 1:4.
",1,EP3305797A1.txt,0
666,"Alpha anomer: (R)-{1-[3,5-bis-(trifluoromethyl)phenyl]ethyl} 2-O-p-fluorobenzyl-3,4-O-isopropylidene-α-D-galactopyranose, 27.
",2,EP3305797A1.txt,0
667,"<img> id-imgb0040.tif </img>
",1,EP3305797A1.txt,0
669,"Beta anomer: (R)-{1-[3,5-bis-(trifluoromethyl)phenyl]ethyl} 2-O-p-fluorobenzyl-3,4-O-isopropylidene-β-D-galactopyranose, 28
",2,EP3305797A1.txt,0
672,"EXAMPLE 4. Deprotection of positions 3 and 4.
",2,EP3305797A1.txt,0
673,"General procedure
",1,EP3305797A1.txt,0
674,"A catalytic quantity of CSA is added to a solution of 3,4-isopropylene derived 27, 28, 7 or 8 (1 equiv.) in methanol and left stirring overnight. After that time the solvent is evaporated in vacuo and the residue obtained is purified by filtration with silica using ethyl as the eluent.
",1,EP3305797A1.txt,0
676,"Alpha anomer: (R)-{1-[3,4-bis-(trifluoromethyl)phenyl]ethyl} 2-O-p-fluorobenzyl-α-D-galactopyranose, 4
",2,EP3305797A1.txt,0
679,"Beta anomer: (R)-{1-[3,4-bis-(trifluoromethyl)phenyl]ethyl} 2-O-p-fluorobenzyl-β-D-galactopyranose, 3
",2,EP3305797A1.txt,0
683,"(R)-{1-[3,4-bis-(trifluoromethyl)phenyl]ethyl} 2-O-p-fluorobenzyl-β-L-arabinopyranoside, 6.
",2,EP3305797A1.txt,0
684,"<img> id-imgb0044.tif </img>
",1,EP3305797A1.txt,0
686,"(R)-{1-[3,4-bis-(trifluoromethyl)phenyl]ethyl} 2-O-p-fluorobenzyl-α-L-arabinopyranoside, 5.
",2,EP3305797A1.txt,0
687,"<img> id-imgb0045.tif </img>
",1,EP3305797A1.txt,0
691,"Alpha anomer: (R)-{1-[3,5-bis-(trifluoromethyl)phenyl]ethyl} 2-O-p-fluorobenzyl-(R)-[4,5-O-benzylidene]-α-D-galactopyranoside, 2
",2,EP3305797A1.txt,0
694,"Beta anomer: (R)-{1-[3,5-bis-(trifluoromethyl)phenyl]ethyl} 2-O-p-fluorobenzyl-(R)-[4,5-O-benzylidene]-β-D-D-galactopyranoside, 1
",2,EP3305797A1.txt,0
695,"<img> id-imgb0047.tif </img>
",1,EP3305797A1.txt,0
1039,"Example 1: N6-(1,3-dimethyl-1H-pyrazol-4-yl)-3-(1H-indol-5-yl)-1-isopropyl-1H-pyrazolo[3,4-d]pyrimidine-4,6-diamine
",2,EP3312182A1.txt,0
1048,"Example 2: N6-(1,3-dimethyl-1H-pyrazol-4-yl)-3-(7-fluoro-1H-indazol-4-yl)-1-isopropyl-1H-pyrazolo[3,4-d]pyrimidine-4,6-diamine
",2,EP3312182A1.txt,0
1051,"Example 3: 3-(2,3-Dihydro-1-benzofuran-5-yl)-N6-(1,3-dimethyl-1H-pyrazol-4-yl)-1-isopropyl-1H-pyrazolo[3,4-d]pyrimidine-4,6-diamine
",2,EP3312182A1.txt,0
1058,"Example 4-1: 3-(7-Chloro-1H-indazol-4-yl)-N6-[2-fluoro-4-(methylsulfonyl)phenyl]-1-isopropyl-1H-pyrazolo[3,4-d]pyrimidine-4,6-diamine
",2,EP3312182A1.txt,0
1059,"<img> id-imgb0040.tif </img>
",1,EP3312182A1.txt,0
1061,"Example 4-2: N6-[2-fluoro-4-(methylsulfonyl)phenyl]-3-(1H-indazol-4-yl)-1-isopropyl-1H-pyrazolo[3,4-d]pyrimidine-4,6-diamine
",2,EP3312182A1.txt,0
1062,"<img> id-imgb0041.tif </img>
",1,EP3312182A1.txt,0
1064,"Example 4-3: 3-(7-Fluoro-1H-indazol-4-yl)-N6-[2-fluoro-4-(methylsulfonyl)phenyl]-1-isopropyl-1H-pyrazolo[3,4-d]pyrimidine-4,6-diamine
",2,EP3312182A1.txt,0
1065,"<img> id-imgb0042.tif </img>
",1,EP3312182A1.txt,0
1067,"Example 4-4: 4-(4-Amino-6-{[2-fluoro-4-(methylsulfonyl)phenyl]amino}-1-isopropyl-1H-pyrazolo[3,4-d]pyrimidin-3-yl)-1H-indazole-7-carbonitrile
",2,EP3312182A1.txt,0
1068,"<img> id-imgb0043.tif </img>
",1,EP3312182A1.txt,0
1071,"A similar procedure to Reference Example 1 → Reference Example 8 → Reference Example 9 → Example 2 was carried out by using a corresponding amine compound instead of 1,3-dimethylpyrazol-4-amine hydrochloride and using a corresponding boronic acid instead of 1-(tert-butyldimethylsilyl)-1H-indol-5-ylboronic acid to give the compound of the present invention having the following physical properties. In Example 5-5, HPLC preparative purification was performed instead of silica gel column chromatography in Example 2.
",0,EP3312182A1.txt,2
1072,"Example 5-1: 3-(7-Fluoro-1H-indazol-4-yl)-1-isopropyl-N6-{3-methyl-1-[(methylsulfonyl)methyl]-1H-pyrazol-4-yl}-1H-pyrazolo[3,4-d]pyrimidine-4,6-diamine
",2,EP3312182A1.txt,0
1073,"<img> id-imgb0044.tif </img>
",1,EP3312182A1.txt,0
1075,"Example 5-2: 3-(7-Fluoro-1H-indazol-4-yl)-1-isopropyl-N6-[2-methoxy-4-(methylsulfonyl)phenyl]-1H-pyrazolo[3,4-d]pyrimidine-4,6-diamine
",2,EP3312182A1.txt,0
1076,"<img> id-imgb0045.tif </img>
",1,EP3312182A1.txt,0
1078,"Example 5-3: N6-[4-(cyclopropylsulfonyl)-2-fluorophenyl]-3-(1H-indazol-4-yl)-1-isopropyl-1 H-pyrazolo [3,4-d]pyrimidine-4,6-diamine
",2,EP3312182A1.txt,0
1080,"Example 5-4: N6-(3-chloro-1-methyl-1H-pyrazol-4-yl)-3-(7-fluoro-1H-indazol-4-yl)-1-isopropyl-1H-pyrazolo[3,4-d]pyrimidine-4,6-diamine
",2,EP3312182A1.txt,0
1082,"Example 5-5:1-(4-{[4-Amino-3-(7-fluoro-1H-indazol-4-yl)-1-isopropyl-1H-pyrazolo[3,4-d]pyrimidin-6-yl]amino} -3 -fluorophenyl)ethanone di(trifluoroacetate)
",2,EP3312182A1.txt,0
1085,"A similar procedure to Reference Example 1 → Reference Example 8 → Reference Example 9 → Example 1 was carried out by using a corresponding amine compound instead of 1,3-dimethylpyrazol-4-amine hydrochloride and using a corresponding boronic acid instead of 1-(tert-butyldimethylsilyl)-1H-indol-5-ylboronic acid to give the compound of the present invention having the following physical properties. In Examples 6-4 to 6-9, HPLC preparative purification was performed instead of silica gel column chromatography in Example 1.
",0,EP3312182A1.txt,2
1087,"<img> id-imgb0046.tif </img>
",1,EP3312182A1.txt,0
1089,"Example 6-2: N6-[1-(difluoromethyl)-3-methyl-1H-pyrazol-4-yl]-3-(1H-indol-5-yl)-1-isopropyl-1 H-pyrazolo [3,4-d]pyrimidine-4,6-diamine
",2,EP3312182A1.txt,0
1090,"<img> id-imgb0047.tif </img>
",1,EP3312182A1.txt,0
1092,"Example 6-3: N6-(1,3-dimethyl-1H-pyrazol-5-yl)-3-(1H-indol-5-yl)-1-isopropyl-1H-pyrazolo[3,4-d]pyrimidine-4,6-diamine
",2,EP3312182A1.txt,0
1094,"Example 6-4: 3-(1H-indol-5-yl)-1-isopropyl-N6-(5-pyrimidinyl)-1H-pyrazolo[3,4-d]pyrimidine-4,6-diamine trifluoroacetate
",2,EP3312182A1.txt,0
1106,"Example 7: 3-(6-Amino-5-methoxy-3-pyridinyl)-N6-[2-fluoro-4-(methylsulfonyl)phenyl]-1-isopropyl-1H-pyrazolo[3,4-d]pyrimidine-4,6-diamine
",2,EP3312182A1.txt,0
1109,"Example 8: 3-(1-Benzofuran-5-yl)-N6-(1,3-dimethyl-1H-pyrazol-4-yl)-1-(2,2,2-trifluoroethyl)-1H-pyrazolo[3,4-d]pyrimidine-4,6-diamine di(trifluoroacetate)
",2,EP3312182A1.txt,0
1112,"Example 9: N6-(1,3-dimethyl-1H-pyrazol-4-yl)-3-(7-fluoro-1H-indazol-4-yl)-1-(3-oxetanyl)-1H-pyrazolo[3,4-d]pyrimidine-4,6-diamine
",2,EP3312182A1.txt,0
1120,"Example 11: 3-(7-Fluoro-1H-indazol-4-yl)-N6-[2-fluoro-4-(methylsulfonyl)phenyl]-1-(2-methyl-2-propanyl)-1H-pyrazolo[3,4-d]pyrimidine-4,6-diamine
",2,EP3312182A1.txt,0
1123,"Example 12: 4-{[4-Amino-1-cyclopentyl-3-(3-hydroxyphenyl)-1H-pyrazolo[3,4-d]pyrimidin-6-yl]amino}-3-fluoro-N,N-dimethylbenzamide
",2,EP3312182A1.txt,0
1126,"Examples 13-1 to 13-15:
",0,EP3312182A1.txt,2
1127,"A similar procedure to Reference Example 1 → Reference Example 2 → Reference Example 3 → Reference Example 4 → Reference Example 5 → Reference Example 6 → Reference Example 7 → Reference Example 8 → Reference Example 9 → Example 2 was carried out by using 1,3-dimethylpyrazol-4-amine hydrochloride or a corresponding amine compound instead of 1,3-dimethylpyrazol-4-amine hydrochloride, using 2,4-dichloro-7H-pyrrolo[2,3-d]pyrimidine instead of 4,6-dichloro-1H-pyrazolo[3,4-d]pyrimidine, and using a corresponding boronic acid instead of 1-(tert-butyldimethylsilyl)-1H-indol-5-ylboronic acid to give the compound of the present invention having the following physical properties. Meanwhile, in Example 13-7, HPLC preparative purification was performed instead of silica gel column chromatography in Example 2.
",0,EP3312182A1.txt,1
1129,"<img> id-imgb0054.tif </img>
",1,EP3312182A1.txt,0
1131,"Example 13-2: 5-{[4-Amino-5-(1H-indazol-4-yl)-7-isopropyl-7H-pyrrolo[2,3-d]pyrimidin-2-yl]amino}-N,N-dimethyl-2-pyridinecarboxamide
",2,EP3312182A1.txt,0
1132,"<img> id-imgb0055.tif </img>
",1,EP3312182A1.txt,0
1134,"Example 13-3: 1-(4-{[4-Amino-5-(1H-indazol-4-yl)-7-isopropyl-7H-pyrrolo[2,3-d]pyrimidin-2-yl]amino}-3-methyl-1H-pyrazol-1-yl)-2-methyl-2-propanol
",2,EP3312182A1.txt,0
1136,"Example 13-4: 2-(4-{[4-Amino-5-(1H-indazol-4-yl)-7-isopropyl-7H-pyrrolo[2,3-d]pyrimidin-2-yl]amino}-3-methyl-1H-pyrazol-1-yl)-N,N-dimethylacetamide
",2,EP3312182A1.txt,0
1138,"Example 13-5: 2-(4-{[4-Amino-5-(1H-indazol-4-yl)-7-isopropyl-7H-pyrrolo[2,3-d]pyrimidin-2-yl]amino}-3-methyl-1H-pyrazol-1-yl)-1-(4-morpholinyl)ethanone
",2,EP3312182A1.txt,0
1140,"Example 13-6: 2-(4-{[4-Amino-5-(1H-indazol-4-yl)-7-isopropyl-7H-pyrrolo[2,3-d]pyrimidin-2-yl]amino}-3-methyl-1 H-pyrazol-1-yl)-2-methyl-1,3-propanediol
",2,EP3312182A1.txt,0
1142,"Example 13-7: 6-{[4-Amino-5-(1H-indazol-4-yl)-7-isopropyl-7H-pyrrolo[2,3-d]pyrimidin-2-yl]amino}-1-methyl-1,3-dihydro-2H-indol-2-one trifluoroacetate
",2,EP3312182A1.txt,0
1144,"Example 13-8: [4-({4-Amino-7-isopropyl-5-[4-(trifluoromethyl)phenyl]-7H-pyrrolo[2,3-d]pyrimidin-2-yl}amino)-3-fluorophenyl](1-piperazinyl)methanone
",2,EP3312182A1.txt,0
1146,"Example 13-9: 4-(4-Amino-2-{[2-fluoro-4-(1-piperazinylcarbonyl)phenyl]amino}-7-isopropyl-7H-pyrrolo[2,3-d]pyrimidin-5-yl)benzonitrile
",2,EP3312182A1.txt,0
1148,"Example 13-10: [4-({4-Amino-7-isopropyl-5-[4-(trifluoromethoxy)phenyl]-7H-pyrrolo[2,3-d]pyrimidin-2-yl}amino)-3-fluorophenyl](1-piperazinyl)methanone
",2,EP3312182A1.txt,0
1150,"Example 13-11: (4-{[4-Amino-7-isopropyl-5-(3-methoxyphenyl)-7H-pyrrolo[2,3-d]pyrimidin-2-yl]amino-3-fluorophenyl)(1-piperazinyl)methanone
",2,EP3312182A1.txt,0
1152,"Example 13-12: N2-(1,3-dimethyl-1H-pyrazol-4-yl)-5-(6-fluoro-1H-indazol-4-yl)-7-isopropyl-7H-pyrrolo[2,3-d]pyrimidine-2,4-diamine
",2,EP3312182A1.txt,0
1154,"Example 13-13: N2-(1,3-dimethyl-1H-pyrazol-4-yl)-7-isopropyl-5-(6-methyl-1H-indazol-4-yl)-7H-pyrrolo[2,3-d]pyrimidine-2,4-diamine
",2,EP3312182A1.txt,0
1156,"Example 13-14: N2-(1,3-dimethyl-1H-pyrazol-4-yl)-7-isopropyl-5-(7-methyl-1H-indazol-4-yl)-7H-pyrrolo[2,3-d]pyrimidine-2,4-diamine
",2,EP3312182A1.txt,0
1158,"Example 13-15: N2-(1,3-dimethyl-1H-pyrazol-4-yl)-7-isopropyl-5-(5-methyl-1H-indazol-4-yl)-7H-pyrrolo[2,3-d]pyrimidine-2,4-diamine
",2,EP3312182A1.txt,0
1161,"A similar procedure to Reference Example 1 → Reference Example 2 → Reference Example 3 → Reference Example 4 → Reference Example 5 → Reference Example 6 → Reference Example 7 → Reference Example 8 → Reference Example 9 was carried out by using 1,3-dimethylpyrazol-4-amine hydrochloride or a corresponding amine compound instead of 1,3-dimethylpyrazol-4-amine hydrochloride, using 2,4-dichloro-7H-pyrrolo[2,3-d]pyrimidine instead of 4,6-dichloro-1H-pyrazolo[3,4-d]pyrimidine and using a corresponding boronic acid instead of 1-(tert-butyldimethylsilyl)-1H-indol-5-ylboronic acid to give the compound of the present invention having the following physical properties.
",0,EP3312182A1.txt,1
1163,"<img> id-imgb0056.tif </img>
",1,EP3312182A1.txt,0
1165,"Example 14-2: 5-(1,2-Benzothiazol-5-yl)-N2-(1,3-dimethyl-1H-pyrazol-4-yl)-7-isopropyl-7H-pyrrolo[2,3-d]pyrimidine-2,4-diamine
",2,EP3312182A1.txt,0
1166,"<img> id-imgb0057.tif </img>
",1,EP3312182A1.txt,0
1168,"Example 14-3: 5-(2,1-Benzothiazol-5-yl)-N2-(1,3-dimethyl-1H-pyrazol-4-yl)-7-isopropyl-7H-pyrrolo[2,3-d]pyrimidine-2,4-diamine
",2,EP3312182A1.txt,0
1170,"Example 14-4: N2-(1,3-dimethyl-1H-pyrazol-4-yl)-7-isopropyl-5-(1H-pyrrolo[2,3-b]pyridin-3-yl)-7H-pyrrolo[2,3-d]pyrimidine-2,4-diamine
",2,EP3312182A1.txt,0
1172,"Example 14-5: 5-(4-Amino-2-{[2-fluoro-4-(methylsulfbnyl)phenyl]amino}-7-isopropyl-7H-pyrrolo[2,3-d]pyrimidin-5-yl)-1(2H)-isoquinolinone
",2,EP3312182A1.txt,0
1174,"Example 14-6: N2 -[2-fluoro-4-(methylsulfonyl)phenyl]-7-isopropyl-5-(5-quinolinyl)-7H-pyrrolo[2,3-d]pyrimidine-2,4-diamine
",2,EP3312182A1.txt,0
1176,"Example 14-7: Methyl(4-{[4-amino-5-(1-benzofuran-5-yl)-7-isopropyl-7H-pyrrolo[2,3-d]pyrimidin-2-yl]amino}-3-methyl-1H-pyrazol-1-yl)acetate
",2,EP3312182A1.txt,0
1178,"Example 14-8: 5-(1-Benzofuran-5-yl)-N2-(1,5-dimethyl-1H-pyrazol-4-yl)-7-isopropyl-7H-pyrrolo[2,3-d]pyrimidine-2,4-diamine
",2,EP3312182A1.txt,0
